TF-IDF Weight,Word2Vec Weight,BiLSTM Weight,Transformer Weight,Accuracy,Macro Precision,Macro Recall,Macro F1
0.35,0.15,0.2,0.3,0.7107299024554322,0.697049674718617,0.6734669795427741,0.6829474638976796
0.5,0.15,0.15,0.2,0.7114026236125126,0.6921169397511517,0.6760176691981566,0.6827967453802739
0.4,0.05,0.2,0.35,0.7097208207198117,0.6994950601909519,0.6718675221849548,0.6827657907210531
0.65,0.1,0.2,0.05,0.7134207870837538,0.68655390810649,0.6797555370773345,0.68275721834705
0.65,0.05,0.05,0.25,0.7103935418768921,0.6929380402114766,0.67586753019739,0.6827524317369407
0.4,0.2,0.2,0.2,0.7117389841910529,0.693519620204462,0.6749818985899034,0.682708230662197
0.4,0.15,0.2,0.25,0.7107299024554322,0.6944311624841479,0.674460455956822,0.6826778830287952
0.5,0.25,0.15,0.1,0.713757147662294,0.6879918036080341,0.6784597402775092,0.6825935839423344
0.3,0.15,0.2,0.35,0.7107299024554322,0.6989759023810973,0.6719403745286,0.6825616221667933
0.55,0.05,0.25,0.15,0.7110662630339725,0.6922875784219013,0.6752419748591959,0.6825339488825544
0.6,0.15,0.05,0.2,0.712075344769593,0.6892464489965695,0.6776476632256954,0.6824983334627015
0.6,0.05,0.25,0.1,0.7114026236125126,0.6890923479315895,0.6772845413688029,0.6824934652521863
0.55,0.05,0.15,0.25,0.7100571812983518,0.6938645991219314,0.6745029218639098,0.6824676848381617
0.65,0.05,0.1,0.2,0.7114026236125126,0.6908330665090083,0.6764235503101812,0.6824661398063627
0.75,0.05,0.05,0.15,0.712075344769593,0.6866114215208584,0.6793706706873905,0.6824046620791823
0.5,0.2,0.15,0.15,0.7124117053481333,0.6902684477663537,0.6765179039165543,0.682395178467192
0.65,0.15,0.1,0.1,0.713757147662294,0.6856601147777261,0.6797223999252826,0.6823523394696769
0.75,0.1,0.05,0.1,0.712075344769593,0.6844274100174857,0.680876067786881,0.6823178500182788
0.4,0.05,0.25,0.3,0.7100571812983518,0.6979624932089228,0.6718291471655781,0.6822829784246076
0.5,0.2,0.2,0.1,0.7124117053481333,0.688680020272266,0.6772725620537139,0.6822336516904272
0.35,0.1,0.2,0.35,0.7103935418768921,0.6981965152989694,0.6717229358792777,0.6821631911714294
0.7,0.05,0.2,0.05,0.7110662630339725,0.6856241107892734,0.6792367950820272,0.6820756881149086
0.55,0.15,0.15,0.15,0.7124117053481333,0.6891770900616945,0.6765351926564092,0.6820055365440694
0.3,0.15,0.25,0.3,0.7107299024554322,0.6975411506396177,0.6715997292011666,0.6819553715065574
0.55,0.2,0.15,0.1,0.7134207870837538,0.6876268422146471,0.6775724751497616,0.6819262204131153
0.65,0.2,0.05,0.1,0.7130844265052136,0.6834079562621799,0.6810007863500911,0.6818763509933885
0.5,0.1,0.25,0.15,0.7100571812983518,0.6913754054702766,0.6745456310413213,0.6817503314314969
0.45,0.2,0.2,0.15,0.7107299024554322,0.6907436694148371,0.6750575016490431,0.6817179299903737
0.35,0.25,0.2,0.2,0.7103935418768921,0.6925177511367495,0.6739738340737742,0.6816849543588831
0.25,0.3,0.2,0.25,0.7107299024554322,0.6935479743948524,0.6733941987565699,0.6816590599295512
